empty,field_opp_no,field_opp_primary_at,field_opp_primary_vt,field_opp_source,field_opp_ideation_date,field_opp_context_field,field_opp_theme,field_opp_description,field_opp_tcv_range,field_opp_tcv_est,field_opp_stakeholder,field_opp_decision_maker,field_opp_potential_competitor,field_opp_comments
,95,Baxter,Healthcare,Birlasoft,2/25/2019,,Predictive Health Tools,Development of customized D&A applications/tools for clinical nutrition unit enabling predictive healthcare algorithms,5-Mar,3,"Teresa Murphy – Director, IT Commercials","Marc T’Hart – VP, Commercial IT",,
,96,Baxter,Healthcare,Birlasoft,2/25/2019,,Master Data Management,"Enhancing D&A processes across data capturing, cleaning, and analysis by combining current Cognos tool with Netezza or Mindsphere",3-Jan,1,"Debra Budzik – Director, Enterprise BI Teresa Murphy – Director, IT Commercials","Marc T’Hart – VP, Commercial IT",,
,97,Baxter,Healthcare,Birlasoft,2/25/2019,,Salesforce Customization,Version upgradation of current Salesforce CRM Software & customizations to specifically include sales leadership dashboards starting with the US,1-1.5,1,"Teresa Murphy – Director, IT Commercials","Marc T’Hart – VP, Commercial IT",,
,98,Baxter,Healthcare,Birlasoft,2/25/2019,,Business Intelligence Tools,"Developing algorithm backed BI tools view or create business reports, analyze data, and monitor events and metrics to make business decisions eg: new selling opportunities, investment decisions based on performance",3-Feb,2,"Teresa Murphy – Director, IT Commercials Debra Budzik – Director, Enterprise BI","Marc T’Hart – VP, Commercial IT",,
,99,Baxter,Healthcare,Birlasoft,2/25/2019,,R&D Efficiency,Introduction of advanced R&D software like LIMS to manage laboratory informatics and track process development,2-Jan,1,N/A,"Paul Martin – SVP & CIO Scott Pleau – VP, Global Operations Sumant Ramachandra – CTO (Science)",,
,100,Baxter,Healthcare,Birlasoft,2/25/2019,,End-customer reach & relevance,"App/platform development for frequent customer (patient, physicians, doctors, etc.) engagements to increase product awareness in targeted geos e.g. Japan",3-Feb,2,"Teresa Murphy – Director, IT Commercials Mike Butler – Med Products R&D IT","Marc T’Hart – VP, Commercial IT",,
,101,DTCC,Banking,Birlasoft,2/21/2019,,Enabling cost saving through FRTB offering,"Building an end-user platform as a real-time solution for banking clients to test/ query the FRTB dataset (Currently, automated processes to run query management is not present)",5-Mar,3,,Martin Mroz (CDO group); Tim Lind; Dan Magarino,,
,102,DTCC,Banking,Birlasoft,2/21/2019,,Enabling cost saving through FRTB offering,Building data extraction modules to leverage the data housed in Global Trade Repository for OTC derivatives – for applications in building FRTB analytics (Opportunity linked to GTR priorities for DTCC),8-May,5,,Martin Mroz (CDO group); Tim Lind; Dan Magarino,,
,103,DTCC,Banking,Birlasoft,2/21/2019,,Enabling cost saving through FRTB offering,"Project staffing of experienced, quality talent within Advanced Analytics – including data scientists and domain experts on capital markets securities data (Gaps in internal analytics team)",3-Feb,2,,Martin Mroz (CDO group); Tim Lind; Dan Magarino,,
,104,DTCC,Banking,Birlasoft,2/21/2019,,Transforming “Equity Kinetics” offering,"Leverage DTCC + Omgeo data from 1010Data and build data translations, algorithms for data interaction, etc. – Project staffing of analytics talent, incl. data translators, data engineers",3-Feb,2,,Martin Mroz; Tim Lind and team,,
,105,DTCC,Banking,Birlasoft,2/21/2019,,Leveraging Blockchain in Trade Information Warehouse (TIW) and other applications,"Run POCs for leveraging DLT in other applications in the post-trade infrastructure, e.g., GMEI Utility",5-Mar,3,,Rob Palatnick; Rob Garrison,,
,106,DTCC,Banking,Birlasoft,2/21/2019,,Leveraging Blockchain in Trade Information Warehouse (TIW) and other applications,"Project for running public testing on the new DLT-enabled solution, for testing and validation of the system, integration with platforms such as MarkitServ, etc.",5-Mar,3,,"Greg R., Rob Palatnick",,
,107,DTCC,Banking,Birlasoft,2/21/2019,,Global Trade Repository (GTR),Legacy platform migration of applications used in OTC derivative reporting processes used in specific countries (Need to identify specific countries still operating on legacy systems),10+,10,,Chris Child; Rob Gambardella,,
,108,DTCC,Banking,Birlasoft,2/21/2019,,Global Trade Repository (GTR),Data integration and data engineering applications across multiple legacy systems currently in use under GTR; (Work underway on this),6-May,5,,Chris Child; Rob Gambardella,,
,109,DTCC,Banking,Birlasoft,2/21/2019,,Global Trade Repository (GTR),"To enable providing a one-stop-shop solution for compliance of European SFTR standards, identifying specific data and API interlinkages between EU and non-EU systems",3-Feb,2,,Chris Child; Rob Gambardella,,
,110,DTCC,Banking,Birlasoft,2/21/2019,,Global Trade Repository (GTR),Threat Intelligence and vulnerability management associated with managing OTC derivative platforms globally,3-Feb,2,,Chris Child; Rob Gambardella,,
,111,DTCC,Banking,Birlasoft,2/21/2019,,Core services – Enhancing an Operations + Tech play,Automation and process engineering leveraging RPA to manage manual processing associated with the following 3 use cases: (a) Matching counter party transactions (under institutional trade processing); (b) Reconciliation with custodians; (c) Collateral management,6-May,5,,Karen Duffy; Lynn Bishop,,
,112,DTCC,Banking,Birlasoft,2/21/2019,,Core services – Enhancing an Operations + Tech play,"Achieving process efficiency through building a solution to enable migration from T+2 settlement to T+1 settlement (part of 5 year roadmap for DTCC, with potential to engage >50,000 man hours p.a. on project)",8-May,5,,Lynn Bishop; Lou Colombo,,
,113,DTCC,Banking,Birlasoft,2/21/2019,,Cloud and Agile,"Cloud migration of applications currently used under DTCC to AWS (e.g., under D&A applications, migration from mainframe based Greenplum to other cloud based tools on AWS); Part of 3-5 year roadmap to move apps and data to cloud; includes - –Operational and strategy support in building out enterprise migration strategy to Cloud",10+,10,,James Lee; Harold Walter; Rob Palatnick,,
,114,DTCC,Banking,Birlasoft,2/21/2019,,Cloud and Agile,"Development/testing support for new AWS-compliant applications, app remediation, etc. given quick-wins on enabling app compliance to AWS", ,,,All BU exec directors under Lynn Bishop,,
,115,DTCC,Banking,Birlasoft,2/21/2019,,Cloud and Agile,"Participate in identifying agile journeys to deploy across current application development environments, build agile integration with the PMO (Provider can support with part of agile journey development)",10+,10,,"Lynn Bishop, Drew Saur; Rob Palatnick",,
,116,DTCC,Banking,Birlasoft,2/21/2019,,Specialized testing,"Specialized testing of applications using AI/cognitive tools and regression based testing algorithms (Multiple POCs run already, project award and TCV will require ROI negotiation with PMO office)",7-May,5,,Sharad Joshi; Scott Adler (PMO),,
,117,DTCC,Banking,Birlasoft,2/21/2019,,UAT environment strategy,Migrate UAT environment from Confluence to another platform; Build data configuration around UAT,3-Feb,2,,Sharad Joshi,,
,118,DTCC,Banking,Birlasoft,2/21/2019,,Core development activities,"Continue to accelerate on core development activities including: –Website redesign for internal communication applications (currently using enterprise-wiki based systems, integrating with SharePoint) –Client feedback and vendor feedback systems (currently managed at a decentralized level) –Recovery and backup tool implementation for advanced reporting of customer and client reporting, visualizations, etc.",-8,3,,Lou Colombo; Bob Cook; Drew Saur,,
,119,DTCC,Banking,Birlasoft,2/21/2019,,SIEM (Security Incidence & Event Mgt.),Data workflow management – deploy and manage tool for workflow mgt. associated with (i) Security Incidence and Event Management (SEM)/ regulatory compliance; (ii) Data remediation,5-Mar,3,,Rob Gambardella; CRO org.,,
,120,DTCC,Banking,Birlasoft,2/21/2019,,Risk Analytics,Deploy new predictive analytics tool for risk-related use cases (other organizations such as OCC are migrating to IBM.Algo),2-Jan,1,,Rob Gambardella; CRO org.,,
,121,DTCC,Banking,Birlasoft,2/21/2019,,BI/ Visualization,Leverage new-age BI/visualization tools for streamlining reporting processes and chargeback processes (currently carried on MS Excel),0.5-1,0.5,,"Bob Cook, Drew Saur",,
,122,DTCC,Banking,Birlasoft,2/21/2019,,Budgeting tool,"Migration away from HP PPM (Project and Portfolio Mgt tool) (currently used for budgeting, reporting) – currently plan for migration being evaluated",5-Mar,3,,Scott Adler; Drew Saur,,
,123,DTCC,Banking,Birlasoft,2/21/2019,,Identity access management,Migration from Secure ID token system (used by employees and contractors) – to multi factor authentication based approaches with Individual User Access; Enterprise wide configuration of tools such as “Duo” are being evaluated,2-Jan,1,,David Chayer; James Lee,,
,124,DTCC,Banking,Birlasoft,2/21/2019,,Infra resilience,"Building back-up process review mechanism for internal security of all infra systems – networks, servers and application inventories, given majority of data is managed on multiple mainframe systems",6-May,5,,James Lee; Michele Cliford,,
,125,DTCC,Banking,Birlasoft,2/21/2019,,Data loss prevention,Implement a robust system to manage and prevent data loss across all storage systems,5-Mar,3,,James Lee; Michele Cliford,,
,126,National Oil Varco (NOV),EPNG,Birlasoft,2/26/2019,Rig,Upgradation of after-sales service system,"Upgradation of 'Tracker', an internally developed after-sales service system, for ease of analysis & better interface; current system developed >10 years ago",5-Mar,3,"Cormac Lynch, CIO, Rig","Joe Rovig, President, Rig Technologies","TCS, Accenture",
,127,National Oil Varco (NOV),EPNG,Birlasoft,2/26/2019,Rig,Learning Management Systems,Development of Learning Management Systems for safety and online training (across the globe) for service engineers in manufacturing; ~20-30k service engineers in the firm currently trained on 'Achieve',4-Feb,2,"Cormac Lynch, CIO, Rig","Alex Philips, CIO, Corporate",T2/3 companies (Oilfield automation & ML service),
,128,National Oil Varco (NOV),EPNG,Birlasoft,2/26/2019,Rig,Codification of systems to generate price quotes,Codification of systems to help sales people generate price quotes for customized equipment by collating information from the ERP & engineering systems; Start with Rig as it will be more pro-active than the other 2,2-Jan,1,"VP, Sales & Marketing – Rig","Cormac Lynch, CIO, Rig",Internal team,
,129,National Oil Varco (NOV),EPNG,Birlasoft,2/26/2019,Rig,Unified Sales CRM,Develop a unified sales CRM to track customer sales data; opportunity can be pursued with the Rig CIO initially and then leveraged for the remaining 2 business units,4-Mar,3,"VP, Sales & Marketing – Wellbore, Rig, CAPS","Group CIOs – Wellbore, Rig, CAPS",IBM,
,130,National Oil Varco (NOV),EPNG,Birlasoft,2/26/2019,Rig,Customized MS dynamics for resource deployment,Customized CRMs (Microsoft Field Services) for analysis on deployment of resources in field services and equipment rentals; can be implemented across the 3 units within Rig,4-Feb,2,"Cormac Lynch, CIO, Rig","Clay Williams, President, NOV",NA,
,131,National Oil Varco (NOV),EPNG,Birlasoft,2/26/2019,Corporate,Enhancing data security,Enhancing data security at a product level by understanding the product development and fixing legacy software; current software codes written by the internal team and not software engineers,15-20,15,"James Cooper, Product Security, NOV","Alex Philips, CIO, Corporate","IBM, Accenture",
,132,National Oil Varco (NOV),EPNG,Birlasoft,2/26/2019,Corporate,Consolidation of customer applications,Consolidate all 6 customer applications and become a preferred vendor to ensure consistency and reduce costs for NOV; the 6 applications have been developed by a bunch of boutique vendors,0.5-1,0.5,"Brady Joslin, Director, Application Services","Alex Philips, CIO, Corporate",Smaller T2/3 vendors (Eg - Neudesic),
,133,National Oil Varco (NOV),EPNG,Birlasoft,2/26/2019,Corporate,Improve IT support capabilities,Provide software tools to improve IT support capabilities and manage operations with a lean support staff model; NOV currently has low support staff: users ratio vis-à-vis the industry,3-Feb,2,"Justin Moore, IT Security","Alex Philips, CIO, Corporate",Smaller T2/3 vendors,
,134,National Oil Varco (NOV),EPNG,Birlasoft,2/26/2019,"Digital, D&A, Customer Applications",Predictive maintenance and analytics,"Predictive maintenance through advanced analytics, integration of IoT and AI solutions for real-time tracking for need of changing tools and extraction output; (current predictive maintenance tool AIMS does not have IoT/AI)",10-May,5,"Carl Ferhes, Engineering Technology; Cormac Lynch, CIO, Rig","Hege Keverneland, Corp VP & CTO",Paraveda,
,135,National Oil Varco (NOV),EPNG,Birlasoft,2/26/2019,"Digital, D&A, Customer Applications",Automation of invoicing through NOVOS,"Automation to track true performance efficiencies of NOVOS to ease invoicing and capturing accurate info; Customers, i.e. operators such as Oxy or Tier 1 contractors such as Precision Drilling, resistant as NOV could see pricing for other vendors, etc.",10-May,5,"Benjamin Facker, SM, NOVOS Development","Cormac Lynch, CIO, Rig",T2/3 IT services companies,
,136,National Oil Varco (NOV),EPNG,Birlasoft,2/26/2019,Operational Technology (OT) and business units,Upgradation of asset tracking system,Upgrade the current asset tracking system (AIMS) to assist in more efficient monitoring of capital assets deployed,2-Jan,1,"James Paton, CIO, CAPS","Kirk Shelton, President, CAPS",T2/3 IT services companies,
,137,National Oil Varco (NOV),EPNG,Birlasoft,2/26/2019,Operational Technology (OT) and business units,Unified platform for multiple applications 12,"Consolidate multiple customer applications into a unified platform; Wellbore Technologies has >15 applications (HR, time facing interface, production, warning systems, etc) that are not integrated",10-May,5,"Group CIOs – Wellbore, Rig, CAPS","Tony Pink, VP Technology, Wellbore; Grant Almond, VP Technology, Rig",Internal team,
,138,National Oil Varco (NOV),EPNG,Birlasoft,2/26/2019,Operational Technology (OT) and business units,Operational consulting services,Operational consulting services to ensure that digital technology developed (Eg. Rig Automation) across the 3 divisions are well integrated; we will need to build on what has been developed & resolve internal issues,4-Mar,3,"Carl Ferhes, Engineering Technology","Tony Pink, VP Technology, Wellbore; Grant Almond, VP Technology, Rig","Accenture, IBM",
