empty,field_expert_fullname,field_expert_affiliation,field_expert_study,field_expert_contact_point,field_expert_joined_ideation,field_expert_designation,field_expert_description,field_expert_primary_at,field_expert_primary_vt,field_expert_image
,Nancy Davis,External,LTI - Aspire ++,Abhay Mital,N,"Former SVP and CIO, UTC (Retiring in December 2016)",,UTC,,
,Stephen Dardaris,External,LTI - Aspire ++,Abhay Mital,N,Former Lean Transformation Leader for UTAS (2008-2015),,UTC,,
,Tom Saxe,External,LTI - Aspire ++,Abhay Mital,N,Former VP Engineering for UTAS (1987-2015),,UTC,,
,Kelly Romano,External,LTI - Aspire ++,Abhay Mital,Y,"Former President, Intelligent Building Tech. UTC - BIS (2004-2016)",,UTC,,
,Lee Deskus,External,LTI - Aspire ++,Abhay Mital,N,"Former CIO, CCS-F&S Solutions (2004-2015)",,UTC,,
,Ron Pepin,External,LTI - Aspire ++,Abhay Mital,N,"Former VP-IT and CIO, Otis Americas (2009-2015)",,UTC,,
,loana Szilagyi,External,LTI - Aspire ++,Abhay Mital,Y,Former IT Consultant MAN SE,,VW,,
,Graham Wheeler,External,LTI - Aspire ++,Abhay Mital,Y,"Former CEO Volkswagen Financial Services, UK",,VW,,
,Detlef Banik,External,LTI - Aspire ++,Abhay Mital,Y,"Former IT Head, Sales & Marketing Volkswagen AG",,VW,,
,Simon Elliott,External,LTI - Aspire ++,Abhay Mital,N,"Former CEO MAN Truck & Bus, UK",,VW,,
,Alexander Trautmann,External,LTI - Aspire ++,Abhay Mital,N,"Former SVP, MD Volkswagen Financial Services",,VW,,
,Milan Kumar,External,LTI - Aspire ++,Abhay Mital,N,"Former Head, Global Delivery Center Volkswagen AG",,VW,,
,Carlos Mendes,Internal,LTI - Aspire ++,Abhay Mital,Y,"Senior Expert, KL, McKinsey",,LafargeHolcim,,
,Lilia Jolibois,External,LTI - Aspire ++,Abhay Mital,Y,"Former SVP Supply Chain, Sales, Marketing Worldwide – LafargeHolcim",,LafargeHolcim,,
,Thomas Spiegal,External,LTI - Aspire ++,Abhay Mital,Y,"Former Vice President Enterprise Applications, LafargeHolcim",,LafargeHolcim,,
,Raluca,External,LTI - Aspire ++,Abhay Mital,N,"Former Purchasing, Supply Chain Director, Lafarge",,LafargeHolcim,,
,Annalisa Gigante,External,LTI - Aspire ++,Abhay Mital,N,"Former SVP, Head of Innovation – LafargeHolcim",,LafargeHolcim,,
,Mahsa  Mozaffari,Internal,LTI - Aspire ++,Abhay Mital,N,"Implementation Coach, McKinsey; Former Operations Manager, Lafarge",,LafargeHolcim,,
,Andrew Dobson,External,LTI - Aspire ++,Abhay Mital,Y,"Former Head, Office of CIO APM Terminals",,Maersk,,
,Henrik Paludan-Mork,External,LTI - Aspire ++,Abhay Mital,N,Former Head of IT Landscape Planning aersk Line,,Maersk,,
,Rich Epstein,External,LTI - Aspire ++,Abhay Mital,Y,Former Head of Enterprise Architecture &CTO Maersk Line,,Maersk,,
,Thomas Duus,External,LTI - Aspire ++,Abhay Mital,N,Former CFO and Head of Procurement Maersk Line,,Maersk,,
,Rene honig,External,LTI - Aspire ++,Abhay Mital,Y,"Former VP, Strategy Portfolio & Innovation Shell Global Solutions",,Maersk,,
,Arjen Kersing,Internal,LTI - Aspire ++,Abhay Mital,N,"Senior Knowledge Expert, Amsterdam, McKinsey",,Maersk,,
,Nick Giglia,External,LTI - Aspire ++,Abhay Mital,Y,"Former Problem Manager, MMC Global Technology Infrastructure (MGTI)",,MMC,,
,Sam Cohen,External,LTI - Aspire ++,Abhay Mital,N,Former Global Systems Manager MMC Global Technology Infrastructure (MGTI),,MMC,,
,Andrew Hosman,External,LTI - Aspire ++,Abhay Mital,Y,"Former Senior Vice President, Product Management Marsh ClearSight",,MMC,,
,Kellie Snyder,External,LTI - Aspire ++,Abhay Mital,N,"Former Managing Director, Global Professional Services Marsh Clearsight",,MMC,,
,Louie Ehrlich,External,LTI - Aspire ++,Abhay Mital,Y,"CIO, Chevron Corporation and President, Chevron IT Company (2008 - 2015)",,Phillips66,,
,Khush Nariman,Internal,LTI - Aspire ++,Abhay Mital,Y,"Partner, Houston, McKinsey",,Phillips66,,
,Richard Ward,Internal,LTI - Aspire ++,Abhay Mital,Y,"Senior Expert, Boston, McKinsey",,Phillips66,,
,Curt Smith,External,LTI - Aspire ++,Abhay Mital,N,"Technology Director, BP (2008-2015) Director App Technology, BP America (2002-2008)",,Phillips66,,
,David Jewell,External,LTI - Aspire ++,Abhay Mital,N,"VP, Midstream, Nextera Energy Resources (2015-present) Senior VP, Enable Midstream Partners, LP (2013 - 2015)",,Phillips66,,
,Matt taylor,External,LTI - Aspire ++,Abhay Mital,N,"MD Assets, Asset Origination & Execution, Phillips 66 (2012 -2015) MD, NGL& Business Development,	ConocoPhillips (2008-2015)	",,Phillips66,,
,Karima Haji,External,LTI - Aspire ++,Abhay Mital,Y,"Former group CIO, Mercedes Benz UK (2012-2015)			",,Scania,,
,Gino costa,External,LTI - Aspire ++,Abhay Mital,Y,"Former Managing Director, Renault Trucks UK, Italy and Turkey (2004-2015)",,Scania,,
,Hitesh Nouni,External,LTI - Aspire ++,Abhay Mital,N,Former ClO-Head of IT & Processes Volkswagen RCC Centre (2012-2016),,Scania,,
,Klas Bendrik,External,LTI - Aspire ++,Abhay Mital,N,"Senior Vice Presidents Group CIO,Volvo CarGroup (2010-2016)",,Scania,,
,Russel Graham,External,LTI - Aspire ++,Abhay Mital,Y,"Former Global Head, Service and Solution Delivery, Standard Chartered",,Standard Chartered,,
